,epoch,step,batch_loss,full_loss,lambda_max,step_sharpness,batch_sharpness,gni,total_accuracy
400,3,400,0.073181,,,,,,
401,3,401,0.142291,,,,,,
402,3,402,0.099504,,,,,,
403,3,403,0.141399,,,,,,
404,3,404,0.106933,,,,,,
405,3,405,0.291345,,,,,,
406,3,406,0.108449,,,,,,
407,3,407,0.111289,,,,,,
408,3,408,0.063507,,,,,,
409,3,409,0.137374,,,,,,
410,3,410,0.106745,,,,,,
411,3,411,0.090451,,,,,,
412,3,412,0.086654,,,,,,
413,3,413,0.108033,,,,,,
414,3,414,0.163283,,,,,,
415,3,415,0.164222,,,,,,
416,3,416,0.126231,,,,,,
417,3,417,0.095717,,,,,,
418,3,418,0.187862,,,,,,
419,3,419,0.215031,,,,,,
420,3,420,0.198768,,,,,,
421,3,421,0.132225,,,,,,
422,3,422,0.222263,,,,,,
423,3,423,0.104524,,,,,,
424,3,424,0.102014,,,,,,
425,3,425,0.125036,,,,,,
426,3,426,0.200386,,,,,,
427,3,427,0.161361,,,,,,
428,3,428,0.040126,,,,,,
429,3,429,0.05276,,,,,,
430,3,430,0.114314,,,,,,
431,3,431,0.114764,,,,,,
432,3,432,0.24781,,,,,,
433,3,433,0.069383,,,,,,
434,3,434,0.24204,,,,,,
435,3,435,0.103673,,,,,,
436,3,436,0.126332,,,,,,
437,3,437,0.085597,,,,,,
438,3,438,0.110146,,,,,,
439,3,439,0.1419,,,,,,
440,3,440,0.109834,,,,,,
441,3,441,0.324861,,,,,,
442,3,442,0.160654,,,,,,
443,3,443,0.112515,,,,,,
444,3,444,0.173078,,,,,,
445,3,445,0.178469,,,,,,
446,3,446,0.200818,,,,,,
447,3,447,0.153591,,,,,,
448,3,448,0.077964,,,,,,
449,3,449,0.160942,,,,,,
450,3,450,0.117098,,,,,,
451,3,451,0.134611,,,,,,
452,3,452,0.104805,,,,,,
453,3,453,0.167855,,,,,,
454,3,454,0.18224,,,,,,
455,3,455,0.125193,,,,,,
456,3,456,0.124961,,,,,,
457,3,457,0.121671,,,,,,
458,3,458,0.077424,,,,,,
459,3,459,0.096838,,,,,,
460,3,460,0.096049,,,,,,
461,3,461,0.122332,,,,,,
462,3,462,0.125615,,,,,,
463,3,463,0.097969,,,,,,
464,3,464,0.067985,,,,,,
465,3,465,0.154437,,,,,,
466,3,466,0.1189,,,,,,
467,3,467,0.168978,,,,,,
468,3,468,0.132284,,,,,,
469,3,469,0.100395,,,,,,
470,3,470,0.116715,,,,,,
471,3,471,0.072144,,,,,,
472,3,472,0.074085,,,,,,
473,3,473,0.130526,,,,,,
474,3,474,0.163949,,,,,,
475,3,475,0.131101,,,,,,
476,3,476,0.050489,,,,,,
477,3,477,0.18631,,,,,,
478,3,478,0.143064,,,,,,
479,3,479,0.13651,,,,,,
480,3,480,0.10908,,,,,,
481,3,481,0.197839,,,,,,
482,3,482,0.136115,,,,,,
483,3,483,0.136463,,,,,,
484,3,484,0.035744,,,,,,
485,3,485,0.167377,,,,,,
486,3,486,0.23654,,,,,,
487,3,487,0.194526,,,,,,
488,3,488,0.099602,,,,,,
489,3,489,0.088926,,,,,,
490,3,490,0.089912,,,,,,
491,3,491,0.04442,,,,,,
492,3,492,0.070363,,,,,,
493,3,493,0.103118,,,,,,
494,3,494,0.132535,,,,,,
495,3,495,0.221953,,,,,,
496,3,496,0.156286,,,,,,
497,3,497,0.20366,,,,,,
498,3,498,0.07546,,,,,,
499,3,499,0.156208,,,,,,
500,3,500,0.130998,,,,,,
501,3,501,0.109501,,,,,,
502,3,502,0.155924,,,,,,
503,3,503,0.150463,,,,,,
504,3,504,0.142109,,,,,,
505,3,505,0.091228,,,,,,
506,3,506,0.135678,,,,,,
507,3,507,0.214329,,,,,,
508,3,508,0.210191,,,,,,
509,3,509,0.239935,,,,,,
510,3,510,0.155234,,,,,,
511,3,511,0.052306,,,,,,
512,4,512,0.131441,0.137729,27.08,,16.4,,
513,4,513,0.041047,,,,,,
514,4,514,0.05918,,,,,,
515,4,515,0.201269,,,,,,
516,4,516,0.2345,,,,,,
517,4,517,0.135156,,,,,,
518,4,518,0.060503,,,,,,
519,4,519,0.109932,,,,,,
520,4,520,0.08916,,,,,,
521,4,521,0.133269,,,,,,
522,4,522,0.121517,,,,,,
523,4,523,0.129089,,,,,,
524,4,524,0.132649,,,,,,
525,4,525,0.073732,,,,,,
526,4,526,0.058165,,,,,,
527,4,527,0.131872,,,,,,
528,4,528,0.097627,,,,,,
529,4,529,0.202391,,,,,,
530,4,530,0.196026,,,,,,
531,4,531,0.23883,,,,,,
532,4,532,0.561124,,,,,,
533,4,533,0.062897,,,,,,
534,4,534,0.083944,,,,,,
535,4,535,0.103058,,,,,,
536,4,536,0.137143,,,,,,
537,4,537,0.124828,,,,,,
538,4,538,0.050262,,,,,,
539,4,539,0.093417,,,,,,
540,4,540,0.046061,,,,,,
541,4,541,0.188144,,,,,,
542,4,542,0.112422,,,,,,
543,4,543,0.081347,,,,,,
544,4,544,0.166454,,,,,,
545,4,545,0.120939,,,,,,
546,4,546,0.10983,,,,,,
547,4,547,0.066964,,,,,,
548,4,548,0.142605,,,,,,
549,4,549,0.138999,,,,,,
550,4,550,0.180259,,,,,,
551,4,551,0.10815,,,,,,
552,4,552,0.249724,,,,,,
553,4,553,0.089641,,,,,,
554,4,554,0.126154,,,,,,
555,4,555,0.152903,,,,,,
556,4,556,0.118244,,,,,,
557,4,557,0.089487,,,,,,
558,4,558,0.04377,,,,,,
559,4,559,0.066065,,,,,,
560,4,560,0.087419,,,,,,
561,4,561,0.201557,,,,,,
562,4,562,0.171321,,,,,,
563,4,563,0.218158,,,,,,
564,4,564,0.039779,,,,,,
565,4,565,0.097839,,,,,,
566,4,566,0.087071,,,,,,
567,4,567,0.242921,,,,,,
568,4,568,0.245299,,,,,,
569,4,569,0.072052,,,,,,
570,4,570,0.15098,,,,,,
571,4,571,0.142819,,,,,,
572,4,572,0.047132,,,,,,
573,4,573,0.262838,,,,,,
574,4,574,0.374188,,,,,,
575,4,575,0.093233,,,,,,
576,4,576,0.125883,,,,,,
577,4,577,0.285894,,,,,,
578,4,578,0.030079,,,,,,
579,4,579,0.059723,,,,,,
580,4,580,0.162638,,,,,,
581,4,581,0.218046,,,,,,
582,4,582,0.096026,,,,,,
583,4,583,0.064871,,,,,,
584,4,584,0.025466,,,,,,
585,4,585,0.119433,,,,,,
586,4,586,0.102868,,,,,,
587,4,587,0.205032,,,,,,
588,4,588,0.140081,,,,,,
589,4,589,0.11841,,,,,,
590,4,590,0.28102,,,,,,
591,4,591,0.030101,,,,,,
592,4,592,0.229811,,,,,,
593,4,593,0.221896,,,,,,
594,4,594,0.08702,,,,,,
595,4,595,0.056749,,,,,,
596,4,596,0.10563,,,,,,
597,4,597,0.246531,,,,,,
598,4,598,0.125222,,,,,,
599,4,599,0.094522,,,,,,
600,4,600,0.115706,,,,,,
601,4,601,0.049643,,,,,,
602,4,602,0.133231,,,,,,
603,4,603,0.064632,,,,,,
604,4,604,0.068081,,,,,,
605,4,605,0.085136,,,,,,
606,4,606,0.088212,,,,,,
607,4,607,0.237467,,,,,,
608,4,608,0.106951,,,,,,
609,4,609,0.101281,,,,,,
610,4,610,0.13392,,,,,,
611,4,611,0.079612,,,,,,
612,4,612,0.099864,,,,,,
613,4,613,0.139188,,,,,,
614,4,614,0.229696,,,,,,
615,4,615,0.043997,,,,,,
616,4,616,0.115574,,,,,,
617,4,617,0.141034,,,,,,
618,4,618,0.150739,,,,,,
619,4,619,0.177189,,,,,,
620,4,620,0.057765,,,,,,
621,4,621,0.193272,,,,,,
622,4,622,0.046556,,,,,,
623,4,623,0.102645,,,,,,
624,4,624,0.155969,,,,,,
625,4,625,0.120623,,,,,,
626,4,626,0.212803,,,,,,
627,4,627,0.081808,,,,,,
628,4,628,0.108544,,,,,,
629,4,629,0.325763,,,,,,
630,4,630,0.164095,,,,,,
631,4,631,0.12914,,,,,,
632,4,632,0.159742,,,,,,
633,4,633,0.215241,,,,,,
634,4,634,0.117305,,,,,,
635,4,635,0.139173,,,,,,
636,4,636,0.138488,,,,,,
637,4,637,0.137905,,,,,,
638,4,638,0.049019,,,,,,
639,4,639,0.180963,,,,,,
640,5,640,0.172077,,,,13.7,,
641,5,641,0.099822,,,,,,
642,5,642,0.119887,,,,,,
643,5,643,0.203479,,,,,,
644,5,644,0.08726,,,,,,
645,5,645,0.225885,,,,,,
646,5,646,0.052098,,,,,,
647,5,647,0.07178,,,,,,
648,5,648,0.041098,,,,,,
649,5,649,0.072367,,,,,,
650,5,650,0.076982,,,,,,
651,5,651,0.172218,,,,,,
652,5,652,0.073149,,,,,,
653,5,653,0.071607,,,,,,
654,5,654,0.224931,,,,,,
655,5,655,0.110456,,,,,,
656,5,656,0.050821,,,,,,
657,5,657,0.144476,,,,,,
658,5,658,0.164549,,,,,,
659,5,659,0.061918,,,,,,
660,5,660,0.091855,,,,,,
661,5,661,0.150099,,,,,,
662,5,662,0.230547,,,,,,
663,5,663,0.27945,,,,,,
664,5,664,0.20372,,,,,,
665,5,665,0.095648,,,,,,
666,5,666,0.085752,,,,,,
667,5,667,0.139589,,,,,,
668,5,668,0.065675,,,,,,
669,5,669,0.059249,,,,,,
670,5,670,0.097761,,,,,,
671,5,671,0.066477,,,,,,
672,5,672,0.085986,,,,,,
673,5,673,0.064349,,,,,,
674,5,674,0.162642,,,,,,
675,5,675,0.037882,,,,,,
676,5,676,0.263464,,,,,,
677,5,677,0.180599,,,,,,
678,5,678,0.076803,,,,,,
679,5,679,0.089041,,,,,,
680,5,680,0.18958,,,,,,
681,5,681,0.041479,,,,,,
682,5,682,0.34315,,,,,,
683,5,683,0.041354,,,,,,
684,5,684,0.14994,,,,,,
685,5,685,0.15891,,,,,,
686,5,686,0.090359,,,,,,
687,5,687,0.126855,,,,,,
688,5,688,0.058185,,,,,,
689,5,689,0.123046,,,,,,
690,5,690,0.167461,,,,,,
691,5,691,0.071906,,,,,,
692,5,692,0.064628,,,,,,
693,5,693,0.040885,,,,,,
694,5,694,0.088507,,,,,,
695,5,695,0.082568,,,,,,
696,5,696,0.184673,,,,,,
697,5,697,0.044986,,,,,,
698,5,698,0.126076,,,,,,
699,5,699,0.058313,,,,,,
700,5,700,0.066105,,,,,,
701,5,701,0.39232,,,,,,
702,5,702,0.09873,,,,,,
703,5,703,0.06577,,,,,,
704,5,704,0.094733,,,,,,
705,5,705,0.083005,,,,,,
706,5,706,0.099927,,,,,,
707,5,707,0.127929,,,,,,
708,5,708,0.08974,,,,,,
709,5,709,0.168579,,,,,,
710,5,710,0.205801,,,,,,
711,5,711,0.104116,,,,,,
712,5,712,0.034988,,,,,,
713,5,713,0.095812,,,,,,
714,5,714,0.274722,,,,,,
715,5,715,0.083882,,,,,,
716,5,716,0.082654,,,,,,
717,5,717,0.112173,,,,,,
718,5,718,0.118214,,,,,,
719,5,719,0.103184,,,,,,
720,5,720,0.10146,,,,,,
721,5,721,0.095798,,,,,,
722,5,722,0.08494,,,,,,
723,5,723,0.097663,,,,,,
724,5,724,0.101149,,,,,,
725,5,725,0.096053,,,,,,
726,5,726,0.234285,,,,,,
727,5,727,0.189208,,,,,,
728,5,728,0.148282,,,,,,
729,5,729,0.101005,,,,,,
730,5,730,0.071271,,,,,,
731,5,731,0.077988,,,,,,
